epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.593,1.84568,2.16181,1.79383,0.2909,0.30028,0.24626,0.12036,1.93036,2.69389,1.93882,0.00333107,0.00333107,0.0700204
2,961.62,1.75549,1.98238,1.7297,0.3567,0.37842,0.31762,0.16692,1.83791,2.18283,1.8605,0.00666186,0.00666186,0.0400178
3,1429.7,1.70631,1.87634,1.69247,0.34974,0.39968,0.3089,0.16539,1.78459,2.19907,1.84709,0.00998248,0.00998248,0.0100051
4,1896.91,1.66098,1.82013,1.66254,0.38165,0.44044,0.39064,0.21571,1.67929,1.93063,1.73813,0.00996569,0.00996569,0.00996569
5,2363.91,1.61046,1.72237,1.62032,0.43927,0.4459,0.42347,0.2329,1.64281,1.77989,1.7206,0.00993906,0.00993906,0.00993906
6,2836.54,1.59027,1.67351,1.61002,0.45635,0.44393,0.43534,0.23802,1.63403,1.73282,1.70932,0.00990489,0.00990489,0.00990489
7,3313.12,1.57796,1.66998,1.59544,0.45058,0.46701,0.44724,0.24961,1.58774,1.71637,1.67413,0.00986323,0.00986323,0.00986323
8,3781.67,1.55035,1.60325,1.57163,0.47164,0.4647,0.4623,0.25967,1.59744,1.68752,1.67293,0.00981415,0.00981415,0.00981415
9,4248.76,1.52585,1.56708,1.55102,0.49077,0.47897,0.47299,0.27134,1.56703,1.63226,1.65199,0.00975773,0.00975773,0.00975773
10,4716.13,1.52045,1.54799,1.54818,0.5023,0.48968,0.4949,0.28545,1.54499,1.55081,1.63559,0.00969405,0.00969405,0.00969405
11,5183.83,1.51085,1.52032,1.53554,0.50963,0.49733,0.5058,0.29293,1.52645,1.52877,1.6203,0.0096232,0.0096232,0.0096232
12,5651.88,1.48685,1.50686,1.52476,0.50054,0.51215,0.50463,0.2957,1.52809,1.54199,1.61286,0.00954531,0.00954531,0.00954531
13,6120,1.48133,1.47792,1.50897,0.5172,0.50901,0.52187,0.30319,1.51139,1.50063,1.59943,0.00946048,0.00946048,0.00946048
14,6597.28,1.48021,1.48743,1.51339,0.5317,0.51633,0.53378,0.31165,1.49535,1.4731,1.58428,0.00936886,0.00936886,0.00936886
15,7070.11,1.46277,1.4491,1.49543,0.54631,0.51511,0.54084,0.31847,1.48329,1.43977,1.56489,0.00927057,0.00927057,0.00927057
16,7538.2,1.44786,1.41939,1.48726,0.54954,0.52193,0.54575,0.32299,1.47652,1.41605,1.57485,0.00916577,0.00916577,0.00916577
17,8005.51,1.43459,1.40187,1.48038,0.55456,0.53227,0.55581,0.32934,1.46995,1.4187,1.56433,0.00905463,0.00905463,0.00905463
18,8472.69,1.43197,1.37622,1.47024,0.56466,0.52911,0.56125,0.33315,1.46868,1.39095,1.55412,0.00893732,0.00893732,0.00893732
19,8939.81,1.42287,1.3844,1.46775,0.56134,0.53897,0.56596,0.33734,1.46182,1.36848,1.55562,0.00881401,0.00881401,0.00881401
20,9406.47,1.42642,1.37779,1.47177,0.56903,0.5498,0.57287,0.3427,1.44839,1.35506,1.55045,0.0086849,0.0086849,0.0086849
